pool_id,classification,case_id,nandina_ref,depth,effective_size,duplicates_discarded,exact_at_depth,hs6_at_depth,hs4_at_depth,chapter_at_depth
hierarchical_only,candidate_pool,DA-EVAL-V02-00140,87082100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00141,87083029,50,50,0,0,0,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00142,87089200,50,50,0,1,1,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00143,87089400,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00144,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00145,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00146,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00147,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00148,87089200,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00149,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00150,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00151,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00152,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00153,87083029,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00154,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00155,87082920,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00156,87082100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00157,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00158,87085011,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00159,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00160,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00161,87082990,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00162,87089999,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00163,87089200,50,50,0,1,1,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00164,87089939,50,50,0,0,0,1,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00165,87089400,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00166,87087010,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00167,87089999,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00168,87032310,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00169,87032290,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00170,87032290,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00171,87032290,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00172,87032290,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00173,87032290,50,50,0,0,0,0,1
hierarchical_only,candidate_pool,DA-EVAL-V02-00174,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00175,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00176,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00177,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00178,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00179,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00180,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00181,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00182,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00183,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00184,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00185,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00186,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00187,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00188,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00189,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00190,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00191,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00192,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00193,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00194,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00195,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00196,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00197,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00198,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00199,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00200,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00201,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00202,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00203,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00204,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00205,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00206,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00207,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00208,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00209,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00210,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00211,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00212,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00213,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00214,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00215,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00216,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00217,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00218,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00219,87032100,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00220,87087010,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00221,87087010,50,50,0,0,0,0,0
hierarchical_only,candidate_pool,DA-EVAL-V02-00222,87087010,50,50,0,0,0,0,0
