reference_nandina,presence_status,n_v01,top1_n_v01,top1_v01,top3_n_v01,top3_v01,mrr_v01,n_v02,top1_n_v02,top1_v02,top3_n_v02,top3_v02,mrr_v02,delta_top1_v02_minus_v01,delta_top3_v02_minus_v01,delta_mrr_v02_minus_v01
87088090,CODE_IN_BOTH_EVALSETS,25,22,0.88,24,0.96,0.9244444444444444,7,0,0.0,0,0.0,0.06534192624418188,-0.88,-0.96,-0.8591025182002625
87089100,CODE_IN_BOTH_EVALSETS,20,18,0.9,18,0.9,0.9081168831168831,27,20,0.7407407407407407,25,0.9259259259259259,0.8377425044091711,-0.15925925925925932,0.025925925925925908,-0.07037437870771202
87089200,CODE_IN_BOTH_EVALSETS,6,6,1.0,6,1.0,1.0,15,13,0.8666666666666667,14,0.9333333333333333,0.8923976608187135,-0.1333333333333333,-0.06666666666666665,-0.10760233918128648
87089310,ONLY_V01,1,1,1.0,1,1.0,1.0,0,0,,0,,,,,
87089391,CODE_IN_BOTH_EVALSETS,36,34,0.9444444444444444,36,1.0,0.9722222222222222,5,3,0.6,4,0.8,0.7,-0.34444444444444444,-0.19999999999999996,-0.27222222222222225
87089399,CODE_IN_BOTH_EVALSETS,18,15,0.8333333333333334,15,0.8333333333333334,0.855379188712522,7,0,0.0,1,0.14285714285714285,0.17847138855542216,-0.8333333333333334,-0.6904761904761905,-0.6769078001570998
87089400,CODE_IN_BOTH_EVALSETS,16,9,0.5625,13,0.8125,0.7276785714285714,31,9,0.2903225806451613,26,0.8387096774193549,0.5875350140056023,-0.2721774193548387,0.02620967741935487,-0.14014355742296913
87089500,CODE_IN_BOTH_EVALSETS,1,0,0.0,0,0.0,0.08333333333333333,2,0,0.0,0,0.0,0.022222222222222223,0.0,0.0,-0.0611111111111111
87089911,ONLY_V01,1,0,0.0,0,0.0,0.038461538461538464,0,0,,0,,,,,
87089919,CODE_IN_BOTH_EVALSETS,2,2,1.0,2,1.0,1.0,1,0,0.0,0,0.0,0.023809523809523808,-1.0,-1.0,-0.9761904761904762
87089921,CODE_IN_BOTH_EVALSETS,3,3,1.0,3,1.0,1.0,3,2,0.6666666666666666,3,1.0,0.8333333333333334,-0.33333333333333337,0.0,-0.16666666666666663
87089929,CODE_IN_BOTH_EVALSETS,6,4,0.6666666666666666,6,1.0,0.8333333333333334,8,7,0.875,8,1.0,0.9375,0.20833333333333337,0.0,0.10416666666666663
87089931,ONLY_V01,2,1,0.5,2,1.0,0.75,0,0,,0,,,,,
87089932,ONLY_V01,2,2,1.0,2,1.0,1.0,0,0,,0,,,,,
87089933,ONLY_V01,5,4,0.8,4,0.8,0.825,0,0,,0,,,,,
87089939,CODE_IN_BOTH_EVALSETS,7,5,0.7142857142857143,6,0.8571428571428571,0.7976190476190476,12,2,0.16666666666666666,3,0.25,0.26688859391348874,-0.5476190476190477,-0.6071428571428571,-0.5307304537055588
